Tool Name,Category,Pricing,Affiliate URL
GoHighLevel,Chatbots & Support,Starting at $97/mo,https://www.gohighlevel.com/
Notion AI,Workflow Automation,Starting at $10/month,https://www.notion.so/
Make.com,Workflow Automation,Free plan / $9/mo,https://www.make.com/
ElevenLabs,Voice & Speech AI,Varies,https://elevenlabs.io/
Copy.ai,Voice & Speech AI,Starting at $36/mo,https://www.copy.ai/
ZenRows,Data & Scraping APIs,Starting at $49/mo,https://www.zenrows.com/
TubeBuddy,Video & Shorts Gen,Starting at $9/mo for Pro,https://www.tubebuddy.com/
OutlierKit,Video & Shorts Gen,Starting at $29/mo,https://outlierkit.com/
Jasper AI,AI Copywriting,Starting at $49/mo,https://www.jasper.ai/
Pictory,Video & Shorts Gen,Starting at $19/mo,https://pictory.ai/
Inkfluence AI,SEO & Optimization,Starting at $49/month,https://www.inkfluenceai.com
Jasper,Voice & Speech AI,Starting at $49/mo,https://www.jasper.ai
Writesonic,AI Copywriting,Starting at $15/mo,https://writesonic.com
Sudowrite,AI Copywriting,Starting at $10/month,https://www.sudowrite.com
ConvertKit,Email & Outreach,Starting at $15/month,https://convertkit.com
QuillBot,Design & Graphics,Free plan available,https://quillbot.com
Text Cortex,Productivity & SaaS,Starting at $19.99/mo,https://textcortex.com
VidIQ,Video & Shorts Gen,Free plan available,https://vidiq.com
BoldDesk,Workflow Automation,Free plan / $12/mo,https://www.bolddesk.com/
Brand24,Productivity & SaaS,Starting at $79/mo,https://brand24.com/
SocialChamp.io,Design & Graphics,Starting at $29/mo,https://socialchamp.io/
Triple Whale,Productivity & SaaS,Starting at $129/mo,https://triplewhale.com/
BoldSign,Workflow Automation,Starting at $10/mo,https://www.boldsign.com/
Privy,Sales & CRM,Starting at $30/mo,https://www.privy.com/
AWeber,Email & Outreach,Free plan / $12.50/mo,https://www.aweber.com/
Unbounce,Image & Photo AI,Starting at $99/mo,https://unbounce.com/
Moosend,Email & Outreach,Starting at $9/mo,https://moosend.com/
Reply.io,Sales & CRM,Starting at $60/mo,https://reply.io/
Omnisend,Sales & CRM,Free plan / $16/mo,https://www.omnisend.com/
Time2book,Finance & Billing,Contact for pricing.,https://www.time2book.me/
Semrush,SEO & Optimization,"Varies by plan, starting from $119.95/month.",https://www.semrush.com/
HubSpot,Sales & CRM,Starting at $50/mo (Free tools available),https://www.hubspot.com/
Kinsta,Design & Graphics,Pricing details on website,https://kinsta.com/
Shopify,Sales & CRM,Pricing details on website,https://www.shopify.com/
Systeme.io,Sales & CRM,"Free plan available, paid plans starting at $27/mo",https://systeme.io/
Jotform,Workflow Automation,Starting at $39/month (paid plans),https://www.jotform.com
Webflow,Coding & Dev Tools,Free starter plan; paid site plans from $14/mo.,https://webflow.com/affiliates
ReactIn,Design & Graphics,Tiered subscription plans available,https://www.reactin.io
Synthesia,Video & Shorts Gen,Starting at $30/mo,https://www.synthesia.io/affiliates
CustomGPT.ai,Autonomous AI Agents,Starting at $49/mo,https://customgpt.ai
Octo Browser,Design & Graphics,Starting at $29/mo,https://octobrowser.net
Carv,Autonomous AI Agents,Custom enterprise pricing,https://carv.ai
JobHire,Productivity & SaaS,Starting at $19/mo,https://jobhire.ai
AITable.ai,Workflow Automation,Starting at $25/mo,https://aitable.ai
LiftmyCV,Chatbots & Support,Starting at $19/month,https://liftmycv.com
Blaze,Workflow Automation,Starting at $79/mo,https://blaze.ai/affiliates
AiAssistWorks,Workflow Automation,Starting at $15/mo,https://aiassistworks.com/affiliates
Vista Social,Workflow Automation,Starting at $39/mo,https://vistasocial.com
Gravity Forms,Workflow Automation,Starting at $59/year,https://www.gravityforms.com
Sendcloud,Workflow Automation,Varies by plan,https://sendcloud.com/affiliates
AliDropship,Productivity & SaaS,Varies by plan,https://alidropship.com
Nudgera,Voice & Speech AI,Varies by plan,https://nudgera.com
Questmate,Workflow Automation,Varies by plan,https://questmate.com
Merlin,Workflow Automation,Starting at $19/mo,https://www.getmerlin.in
Decktopus,Design & Graphics,Starting at $9.99/mo,https://decktopus.com
Dorik,Coding & Dev Tools,Starting at $14/mo,https://dorik.com
Rytr,Email & Outreach,Starting at $9/mo,https://rytr.me
Frase,SEO & Optimization,Starting at $14.99/mo,https://www.frase.io
HeyGen,Voice & Speech AI,Starting at $24/mo,https://www.heygen.com
VEED,Video & Shorts Gen,Starting at $18/mo,https://www.veed.io
Reclaim AI,Image & Photo AI,Check website for details,https://reclaim.ai
Descript,Voice & Speech AI,Starting at $15/mo,https://www.descript.com
Synder,Workflow Automation,Check website for details,https://synder.com
Gallabox,Chatbots & Support,Starting at $49/mo,https://www.gallabox.com
Panda Video,Video & Shorts Gen,Starting at $19/mo,https://pandavideo.com
Surfer SEO,SEO & Optimization,Starting at $59/mo,https://surferseo.com/affiliate
Murf AI,Voice & Speech AI,Starting at $19/mo,https://murf.ai
Scalenut,SEO & Optimization,Starting at $39/mo,https://www.scalenut.com/affiliate
Castmagic,Voice & Speech AI,See website for details,https://www.castmagic.io/
LoopCV,Email & Outreach,Starting at $50/mo,https://loopcv.pro
ClickFunnels,Sales & CRM,Starting at $147/mo,https://www.clickfunnels.com/affiliates
Tapfiliate,Image & Photo AI,Starting at $89/mo,https://tapfiliate.com/partners/
GetResponse,Email & Outreach,"Varies by plan, offers multiple tiers",https://www.getresponse.com/affiliate-programs
Kit,Email & Outreach,Starting at $15/mo,https://www.kit.co
Teachable,Sales & CRM,"Free plan available, paid plans starting at $39/mo",https://teachable.com/affiliates
LiveChat,Chatbots & Support,Check website for details.,https://www.livechat.com
Kittl,Design & Graphics,Starting at $15/month,https://www.kittl.com
Koala AI,SEO & Optimization,Starting at $25/month,https://koala.sh
Lovo,Voice & Speech AI,Starting at $29/month,https://lovo.ai
Make,Coding & Dev Tools,Starting at $9/month,https://www.make.com
n8n,Coding & Dev Tools,"Open-source: free, Enterprise: custom pricing",https://n8n.io
Novita AI,Coding & Dev Tools,Pay-as-you-go or starting at $50/month,https://novita.com
Followr,Workflow Automation,Starting at $29/month,https://followr.com
10Web,Productivity & SaaS,Starting at $20/mo,https://10web.io
Supademo,Workflow Automation,Not specified in snippet,https://supademo.com
Colossyan,Video & Shorts Gen,Starting at $30/mo,https://colossyan.com
Beefree,Email & Outreach,Starting at $15/mo,https://beefree.io
Apollo,Sales & CRM,Starting at $49/mo,https://apollo.io
GetGenie,SEO & Optimization,Starting at $19/mo,https://getgenie.ai
ActiveCampaign,Sales & CRM,Starting at $29/mo,https://activecampaign.com
Sanebox,Email & Outreach,Starting at $7/mo,https://sanebox.com
